_time,_value
2023-03-10T02:26:32.653383289Z,-0.0469
2023-03-10T02:26:33.773604395Z,-0.0497
2023-03-10T02:26:34.88225558Z,-0.0501
2023-03-10T02:26:35.997491741Z,-0.0466
2023-03-10T02:26:37.112079602Z,-0.0516
2023-03-10T02:26:38.228579884Z,-0.0458
2023-03-10T02:26:39.341907931Z,-0.05
2023-03-10T02:26:40.456874696Z,-0.0457
2023-03-10T02:26:41.572160465Z,-0.0528
2023-03-10T02:26:42.702469094Z,-0.0438
2023-03-10T02:26:43.801844596Z,-0.0513
2023-03-10T02:26:44.916589487Z,-0.0447
2023-03-10T02:26:46.032009285Z,-0.0499
2023-03-10T02:26:47.146566274Z,-0.0463
2023-03-10T02:26:48.261577868Z,-0.0506
2023-03-10T02:26:49.376719263Z,-0.0453
2023-03-10T02:26:50.497237016Z,-0.0498
2023-03-10T02:26:51.615201842Z,-0.044
2023-03-10T02:26:52.723018129Z,-0.0495
2023-03-10T02:26:53.836281846Z,-0.0495
2023-03-10T02:26:54.951214886Z,-0.0445
2023-03-10T02:26:56.066323927Z,-0.053
2023-03-10T02:26:57.18295889Z,-0.045
2023-03-10T02:26:58.301991783Z,-0.0478
2023-03-10T02:26:59.412692651Z,-0.0437
2023-03-10T02:27:00.527943433Z,-0.054
2023-03-10T02:27:01.64118903Z,-0.0421
2023-03-10T02:27:02.757633261Z,-0.0517
2023-03-10T02:27:03.870827557Z,-0.0457
2023-03-10T02:27:04.986071176Z,-0.0482
2023-03-10T02:27:06.101184093Z,-0.0473
2023-03-10T02:27:07.216096107Z,-0.0491
2023-03-10T02:27:08.331252704Z,-0.047
2023-03-10T02:27:09.446035349Z,-0.0472
2023-03-10T02:27:10.561192698Z,-0.048
2023-03-10T02:27:11.677626461Z,-0.0461
2023-03-10T02:27:12.794353428Z,-0.0504
2023-03-10T02:27:13.905676034Z,-0.0422
2023-03-10T02:27:15.023190809Z,-0.0522
2023-03-10T02:27:16.135682316Z,-0.0457
2023-03-10T02:27:17.250842033Z,-0.0536
2023-03-10T02:27:18.366226353Z,-0.0471
2023-03-10T02:27:19.480630862Z,-0.0516
2023-03-10T02:27:20.595502776Z,-0.0443
2023-03-10T02:27:21.73727089Z,-0.0494
2023-03-10T02:27:22.831403273Z,-0.0467
2023-03-10T02:27:23.942918542Z,-0.047
2023-03-10T02:27:25.055348495Z,-0.0515
2023-03-10T02:27:26.170384276Z,-0.0448
2023-03-10T02:27:27.28652397Z,-0.0499
2023-03-10T02:27:28.400432039Z,-0.0429
2023-03-10T02:27:29.515233317Z,-0.0506
2023-03-10T02:27:30.634374244Z,-0.0419
2023-03-10T02:27:31.745449162Z,-0.0507
2023-03-10T02:27:32.86186524Z,-0.0442
2023-03-10T02:27:33.974736479Z,-0.0501
2023-03-10T02:27:35.090261546Z,-0.046
2023-03-10T02:27:36.205191208Z,-0.0484
2023-03-10T02:27:37.322900099Z,-0.0476
2023-03-10T02:27:38.436356944Z,-0.0473
2023-03-10T02:27:39.549993091Z,-0.045
2023-03-10T02:27:40.664787403Z,-0.0474
2023-03-10T02:27:41.779755141Z,-0.0494
2023-03-10T02:27:42.898255518Z,-0.0421
2023-03-10T02:27:44.012968253Z,-0.0522
